timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709650313249,216,Login,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,1093,260,2,2,https://testslotegrator.com/api/tester/login,216,0,165
1709650313449,286,Login,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-2,text,true,,1093,260,3,3,https://testslotegrator.com/api/tester/login,286,0,183
1709650313468,301,Create,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,479,768,3,3,https://testslotegrator.com/api/automationTask/create,301,0,0
1709650313736,46,Create,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-2,text,true,,479,768,3,3,https://testslotegrator.com/api/automationTask/create,46,0,0
1709650313769,43,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,43,0,0
1709650313783,42,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-2,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,42,0,0
1709650313652,189,Login,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-3,text,true,,1093,260,1,1,https://testslotegrator.com/api/tester/login,189,0,145
1709650313841,59,Create,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-3,text,true,,479,768,2,2,https://testslotegrator.com/api/automationTask/create,59,0,0
1709650313900,52,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-3,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,52,0,0
1709650313848,408,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,102979,536,3,3,https://testslotegrator.com/api/automationTask/getAll,318,0,170
1709650314048,370,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-2,text,true,,102979,536,2,2,https://testslotegrator.com/api/automationTask/getAll,301,0,146
1709650314251,368,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-3,text,true,,102979,536,2,2,https://testslotegrator.com/api/automationTask/getAll,290,0,147
